query;query_type;result;columns;table;database
SELECT * FROM users WHERE id = 1;SELECT;Success;id;users;PostgreSQL
INSERT INTO customers (name, email, age) VALUES ('John Doe', 'john@example.com', 25);INSERT;Success;name,email,age;customers;MySQL
UPDATE employees SET salary = 60000 WHERE department = 'Sales';UPDATE;Success;salary;employees;sqlserver
DELETE FROM products WHERE stock_quantity < 10;DELETE;Success;stock_quantity;products;sqlserver
MERGE INTO orders USING sales_data ON orders.order_id = sales_data.order_id WHEN MATCHED THEN UPDATE SET orders.total_amount = sales_data.total_amount;MERGE;Success;order_id,total_amount;orders;MySQL
INSERT INTO departments (dept_id, dept_name, location) VALUES (101, 'HR', 'New York');INSERT;Success;dept_id,dept_namelocation;departments;PostgreSQL
UPDATE inventory SET stock = stock - 5 WHERE product_id = 102;UPDATE;Success;stock;inventory;PostgreSQL
DELETE FROM suppliers WHERE rating < 3;DELETE;Success;suppliers;rating;MySQL
INSERT INTO tasks (task_name, priority, status) VALUES ('Task A', 'High', 'Incomplete');INSERT;Success;task_name,priority,status;tasks;sqlserver
UPDATE employees SET manager_id = 105 WHERE department = 'IT';UPDATE;Success;manager_id;employees;MySQL
DELETE FROM customers WHERE last_purchase_date < '2023-01-01';DELETE;Success;customers;last_purchase_date;sqlserver
MERGE INTO sales USING new_data ON sales.product_id = new_data.product_id WHEN MATCHED THEN UPDATE SET sales.quantity = new_data.quantity;MERGE;Success;product_id;quantity,sales;PostgreSQL
INSERT INTO products (product_name, price, stock) VALUES ('Laptop', 1200, 50);INSERT;Success;product_name,price,stock;products;MySQL
UPDATE employees SET role = 'Manager' WHERE department = 'HR';UPDATE;Success;role;employees;PostgreSQL
DELETE FROM orders WHERE order_date < '2023-01-01';DELETE;Success;orders;order_date;MySQL
SELECT * FROM employees WHERE department = 'IT';SELECT;Success;id,name,department,salary;employees;sqlserver
INSERT INTO products (product_name, price, stock) VALUES ('Mouse', 20, 100);INSERT;Success;product_name,price,stock;products;MySQL
UPDATE orders SET status = 'Shipped' WHERE order_date < '2023-03-01';UPDATE;Success;status;orders;PostgreSQL
DELETE FROM suppliers WHERE rating < 2;DELETE;Success;id,name,rating;suppliers;MySQL
MERGE INTO customer_orders USING order_data ON customer_orders.order_id = order_data.order_id WHEN MATCHED THEN UPDATE SET customer_orders.status = order_data.status;MERGE;Success;order_id,status;customer_orders;sqlserver
INSERT INTO departments (dept_id, dept_name, location) VALUES (102, 'Finance', 'London');INSERT;Success;dept_id,dept_name,location;departments;PostgreSQL
UPDATE inventory SET stock = stock + 20 WHERE product_id = 103;UPDATE;Success;stock;inventory;MySQL
DELETE FROM tasks WHERE priority = 'Low';DELETE;Success;task_id,task_name,priority,status;tasks;PostgreSQL
INSERT INTO employees (name, department, salary) VALUES ('Alice', 'HR', 55000);INSERT;Success;name,department,salary;employees;sqlserver
UPDATE products SET price = price * 1.1;UPDATE;Success;price;products;PostgreSQL
DELETE FROM customers WHERE last_purchase_date < '2023-02-01';DELETE;Success;id,name,email,last_purchase_date;customers;sqlserver
MERGE INTO sales_data USING new_data ON sales_data.product_id = new_data.product_id WHEN MATCHED THEN UPDATE SET sales_data.quantity = new_data.quantity;MERGE;Success;product_id,quantity;sales_data;MySQL
INSERT INTO orders (customer_id, total_amount, order_date) VALUES (201, 150.50, '2023-03-15');INSERT;Success;customer_id,total_amount,order_date;orders;PostgreSQL
UPDATE employees SET role = 'Senior Developer' WHERE department = 'IT';UPDATE;Success;role;employees;MySQL
DELETE FROM products WHERE stock <= 0;DELETE;Success;products;stock;PostgreSQL
SELECT product_name, price FROM products WHERE stock > 50;SELECT;Success;product_name,price;products;MySQL
INSERT INTO employees (name, department, salary) VALUES ('Bob', 'Marketing', 60000);INSERT;Success;name,department,salary;employees;PostgreSQL
UPDATE orders SET status = 'Delivered' WHERE order_date < '2023-04-01';UPDATE;Success;status;orders;sqlserver
DELETE FROM suppliers WHERE rating < 4;DELETE;Success;id,name,rating;suppliers;PostgreSQL
MERGE INTO customer_details USING new_data ON customer_details.customer_id = new_data.customer_id WHEN MATCHED THEN UPDATE SET customer_details.email = new_data.email;MERGE;Success;customer_id,email;customer_details;MySQL
INSERT INTO projects (project_name, start_date, end_date) VALUES ('Project X', '2023-05-01', '2023-12-31');INSERT;Success;project_name,start_date,end_date;projects;sqlserver
UPDATE inventory SET stock = stock - 10 WHERE product_id = 104;UPDATE;Success;stock;inventory;PostgreSQL
DELETE FROM tasks WHERE priority = 'Medium';DELETE;Success;task_id,task_name,priority,status;tasks;MySQL
INSERT INTO employees (name, department, salary) VALUES ('Eva', 'Finance', 70000);INSERT;Success;name,department,salary;employees;PostgreSQL
UPDATE products SET price = price * 1.05;UPDATE;Success;price;products;MySQL
DELETE FROM customers WHERE last_purchase_date < '2023-03-01';DELETE;Success;id,name,email,last_purchase_date;customers;sqlserver
